DATE,Deposits_Billions
29/06/1977,852.469
06/07/1977,878.5322
13/07/1977,862.541
20/07/1977,863.8822
27/07/1977,856.0727
03/08/1977,868.0766
10/08/1977,857.6688
17/08/1977,861.3872
24/08/1977,851.2508
31/08/1977,870.6822
07/09/1977,876.869
14/09/1977,875.9572
21/09/1977,867.2151
28/09/1977,868.4126
05/10/1977,889.8486
12/10/1977,891.4039
19/10/1977,878.679
26/10/1977,871.725
02/11/1977,884.0707
09/11/1977,892.9847
16/11/1977,897.508
23/11/1977,883.087
30/11/1977,895.9138
07/12/1977,893.0627
14/12/1977,905.4845
21/12/1977,913.6859
28/12/1977,920.7391
04/01/1978,935.3243
11/01/1978,909.4566
18/01/1978,909.137
25/01/1978,893.2275
01/02/1978,906.207
08/02/1978,902.0076
15/02/1978,909.95
22/02/1978,911.9351
01/03/1978,918.965
08/03/1978,907.5605
15/03/1978,928.3153
22/03/1978,914.4511
29/03/1978,915.2289
05/04/1978,944.9586
12/04/1978,935.3385
19/04/1978,941.2651
26/04/1978,929.4823
03/05/1978,938.8622
10/05/1978,930.4581
17/05/1978,934.473
24/05/1978,926.1455
31/05/1978,965.7386
07/06/1978,946.8891
14/06/1978,954.997
21/06/1978,953.6549
28/06/1978,949.6545
05/07/1978,987.7458
12/07/1978,961.2287
19/07/1978,957.4325
26/07/1978,947.6683
02/08/1978,959.9208
09/08/1978,950.5985
16/08/1978,962.5205
23/08/1978,947.219
30/08/1978,953.3963
06/09/1978,982.1028
13/09/1978,972.6321
20/09/1978,974.0637
27/09/1978,969.6848
04/10/1978,987.1839
11/10/1978,985.7044
18/10/1978,977.0205
25/10/1978,971.5061
01/11/1978,987.4189
08/11/1978,995.3275
15/11/1978,996.7886
22/11/1978,985.0126
29/11/1978,979.4295
06/12/1978,994.721
13/12/1978,997.2028
20/12/1978,1008.6334
27/12/1978,1016.3311
03/01/1979,999.8746
10/01/1979,1001.2143
17/01/1979,999.916
24/01/1979,999.7379
31/01/1979,1000.3256
07/02/1979,995.695
14/02/1979,991.4223
21/02/1979,1003.6789
28/02/1979,1007.9723
07/03/1979,992.7777
14/03/1979,1000.548
21/03/1979,1000.713
28/03/1979,1003.9603
04/04/1979,1008.5024
11/04/1979,1010.9187
18/04/1979,1005.5877
25/04/1979,1010.7947
02/05/1979,1008.8125
09/05/1979,1005.2121
16/05/1979,1012.2792
23/05/1979,1006.821
30/05/1979,1010.5297
06/06/1979,1004.998
13/06/1979,1016.6931
20/06/1979,1022.8567
27/06/1979,1026.6883
04/07/1979,1030.8942
11/07/1979,1035.2839
18/07/1979,1027.1688
25/07/1979,1040.383
01/08/1979,1035.4635
08/08/1979,1025.2975
15/08/1979,1032.0865
22/08/1979,1030.4877
29/08/1979,1029.9786
05/09/1979,1050.4869
12/09/1979,1048.8594
19/09/1979,1062.5001
26/09/1979,1056.3693
03/10/1979,1066.4205
10/10/1979,1071.6904
17/10/1979,1056.0403
24/10/1979,1065.1005
31/10/1979,1065.9148
07/11/1979,1061.8695
14/11/1979,1077.9323
21/11/1979,1074.9352
28/11/1979,1063.1317
05/12/1979,1075.5074
12/12/1979,1078.095
19/12/1979,1070.1696
26/12/1979,1065.9019
02/01/1980,1075.2589
09/01/1980,1074.9295
16/01/1980,1079.7028
23/01/1980,1081.405
30/01/1980,1071.5667
06/02/1980,1085.9912
13/02/1980,1087.4071
20/02/1980,1091.1407
27/02/1980,1080.465
05/03/1980,1091.7061
12/03/1980,1093.3168
19/03/1980,1097.5707
26/03/1980,1090.8305
02/04/1980,1095.2733
09/04/1980,1097.4183
16/04/1980,1093.858
23/04/1980,1099.2939
30/04/1980,1106.1384
07/05/1980,1097.2281
14/05/1980,1101.5861
21/05/1980,1100.9348
28/05/1980,1102.5674
04/06/1980,1098.9269
11/06/1980,1105.6385
18/06/1980,1103.4044
25/06/1980,1108.1412
02/07/1980,1105.1685
09/07/1980,1113.1612
16/07/1980,1118.6479
23/07/1980,1119.1764
30/07/1980,1105.641
06/08/1980,1114.6507
13/08/1980,1113.6739
20/08/1980,1126.0053
27/08/1980,1122.5468
03/09/1980,1136.5192
10/09/1980,1128.1322
17/09/1980,1138.969
24/09/1980,1137.621
01/10/1980,1146.3042
08/10/1980,1140.258
15/10/1980,1164.6178
22/10/1980,1154.3134
29/10/1980,1150.8327
05/11/1980,1173.1302
12/11/1980,1189.211
19/11/1980,1167.5396
26/11/1980,1184.813
03/12/1980,1177.3492
10/12/1980,1181.616
17/12/1980,1175.2484
24/12/1980,1192.2334
31/12/1980,1194.5712
07/01/1981,1192.2306
14/01/1981,1195.7372
21/01/1981,1192.8102
28/01/1981,1193.8786
04/02/1981,1200.4903
11/02/1981,1200.6497
18/02/1981,1205.7286
25/02/1981,1198.3923
04/03/1981,1208.5136
11/03/1981,1210.9482
18/03/1981,1211.3477
25/03/1981,1211.0125
01/04/1981,1223.711
08/04/1981,1214.3567
15/04/1981,1234.1805
22/04/1981,1226.5328
29/04/1981,1221.5249
06/05/1981,1227.5705
13/05/1981,1231.9931
20/05/1981,1231.8114
27/05/1981,1245.8515
03/06/1981,1234.5723
10/06/1981,1252.268
17/06/1981,1244.5072
24/06/1981,1256.4356
01/07/1981,1251.7318
08/07/1981,1242.9782
15/07/1981,1261.4488
22/07/1981,1249.4055
29/07/1981,1233.0575
05/08/1981,1264.559
12/08/1981,1260.3399
19/08/1981,1257.8953
26/08/1981,1264.9986
02/09/1981,1254.3702
09/09/1981,1266.3454
16/09/1981,1276.605
23/09/1981,1268.135
30/09/1981,1289.7147
07/10/1981,1223.7982
14/10/1981,1233.6807
21/10/1981,1226.5057
28/10/1981,1229.8253
04/11/1981,1237.3556
11/11/1981,1235.5422
18/11/1981,1237.7704
25/11/1981,1253.9617
02/12/1981,1251.4882
09/12/1981,1244.5259
16/12/1981,1247.8975
23/12/1981,1259.2354
30/12/1981,1239.541
06/01/1982,1253.5569
13/01/1982,1253.5954
20/01/1982,1255.0906
27/01/1982,1258.9019
03/02/1982,1260.7549
10/02/1982,1254.5546
17/02/1982,1265.4717
24/02/1982,1255.7402
03/03/1982,1267.517
10/03/1982,1263.7278
17/03/1982,1266.7527
24/03/1982,1271.915
31/03/1982,1278.866
07/04/1982,1280.0474
14/04/1982,1277.8534
21/04/1982,1276.2228
28/04/1982,1273.8067
05/05/1982,1284.261
12/05/1982,1287.9997
19/05/1982,1285.4624
26/05/1982,1290.5588
02/06/1982,1301.2771
09/06/1982,1292.9271
16/06/1982,1290.546
23/06/1982,1293.4307
30/06/1982,1302.8517
07/07/1982,1306.7435
14/07/1982,1302.3747
21/07/1982,1304.9689
28/07/1982,1313.6944
04/08/1982,1317.9072
11/08/1982,1315.4791
